,Sector,Cari_Oran,Alacak_Devir_Hızı,Aktif_Devir_Hızı,Oz_Varlık_Karlılıgı,Kar_Marjları,Fiyat_Satıs_Oranı
0,"İMALAT / GIDA, İÇECEK VE TÜTÜN",1.8262297928358,3.5167417586419747,0.23512856141186736,18.195999999999994,"{""varlık_getirisi"": 11.935666666666664, ""yatırılan_sermayenin_getirisi"": 12.426071428571433, ""brüt_kar_marjı"": 19.771379310344827, ""faliyet_kar_marjı"": 4.446666666666664, ""favök_marjı"": 7.984642857142857, ""net_marj"": 4.825}",16.48692307692308
1,MALİ KURULUŞLAR / ARACI KURUMLAR,1.2151439937945474,5.67801616979368,3.180249431048633,47.15,"{""varlık_getirisi"": 8.63, ""yatırılan_sermayenin_getirisi"": 46.53, ""brüt_kar_marjı"": 98.11, ""faliyet_kar_marjı"": 74.69, ""favök_marjı"": 76.58, ""net_marj"": 64.11}",4.71
2,İMALAT / KİMYA İLAÇ PETROL LASTİK VE PLASTİK ÜRÜNLER,2.2624158978377444,1.7399857527892253,0.28448886089388165,44.01500000000001,"{""varlık_getirisi"": 19.99083333333333, ""yatırılan_sermayenin_getirisi"": 36.81457142857145, ""brüt_kar_marjı"": 24.90583333333333, ""faliyet_kar_marjı"": 10.821388888888887, ""favök_marjı"": 13.872352941176473, ""net_marj"": 21.451111111111107}",20.904545454545463
3,İMALAT / DİĞER İMALAT SANAYİİ,1.061801122741937,1.553435909218188,0.2463021738783712,54.94,"{""varlık_getirisi"": 7.9, ""yatırılan_sermayenin_getirisi"": 44.61, ""brüt_kar_marjı"": 55.89, ""faliyet_kar_marjı"": 27.06, ""favök_marjı"": 29.99, ""net_marj"": 12.27}",29.44
4,GAYRİMENKUL FAALİYETLERİ / GAYRİMENKUL FAALİYETLERİ,4.6303439335316225,0.9372696418628829,0.026693496410661034,18.89,"{""varlık_getirisi"": 15.993333333333332, ""yatırılan_sermayenin_getirisi"": 18.77333333333333, ""brüt_kar_marjı"": 44.16, ""faliyet_kar_marjı"": 0.7933333333333342, ""favök_marjı"": 3.7900000000000005, ""net_marj"": 27.7}",49.5
5,İMALAT / TAŞ VE TOPRAĞA DAYALI,1.5046670279600551,1.4652652483653568,0.2893338087427855,47.4563157894737,"{""varlık_getirisi"": 22.13, ""yatırılan_sermayenin_getirisi"": 37.78210526315789, ""brüt_kar_marjı"": 21.0765, ""faliyet_kar_marjı"": 10.299, ""favök_marjı"": 11.86277777777778, ""net_marj"": 8.861499999999998}",53.611875000000005
6,MALİ KURULUŞLAR / HOLDİNGLER VE YATIRIM ŞİRKETLERİ,3.807458774804697,1081.999509159716,0.11269560358254409,40.21184210526316,"{""varlık_getirisi"": 17.121025641025636, ""yatırılan_sermayenin_getirisi"": 37.27694444444444, ""brüt_kar_marjı"": 29.520303030303033, ""faliyet_kar_marjı"": 2.9917142857142878, ""favök_marjı"": 4.5728124999999995, ""net_marj"": 37.91657142857141}",10.839705882352941
7,MALİ KURULUŞLAR / SİGORTA ŞİRKETLERİ,,,,,,
8,ELEKTRİK GAZ VE SU / ELEKTRİK GAZ VE BUHAR,1.1933728740818814,1.9524713162468998,0.15187501449217025,36.706315789473685,"{""varlık_getirisi"": 16.938947368421047, ""yatırılan_sermayenin_getirisi"": 26.22705882352941, ""brüt_kar_marjı"": 21.633333333333336, ""faliyet_kar_marjı"": 48.30714285714286, ""favök_marjı"": 62.874, ""net_marj"": 92.84300000000002}",16.987058823529413
9,MALİ KURULUŞLAR / BANKALAR,,,,,,
