,Stock_Name,Bilanco_Date,Cari_Oran,Nakit_Oran,Toplam_Yabancı_Kaynaklar_Oz_Kaynaklar_Oranı,Alacak_Devir_Hızı,Aktif_Devir_Hızı,Oz_Varlık_Karlılıgı,Kar_Marjları,Hisse_Bası_Kazanc,Fiyat_Satıs_Oranı
18,ALCAR,2023/6,"[1.09168645 1.43248129 1.53126033 1.19079925 1.13172719 0.85791072
 1.15062253 0.58118626 0.45946179 0.46708186 0.35834716 0.51832708]","[0.09796239 0.49988431 0.70158101 0.40799214 0.24201197 0.13356762
 0.3335526  0.04699766 0.02245137 0.01398156 0.01103845 0.05173734]","[1.00890878 0.77420619 0.67449689 0.78952279 0.90602468 0.90108372
 1.37787444 2.7606786  4.84100422 3.32142328 4.95285975 3.01236659]",1.6442859663950944,0.6778676523752147,"['52.38', '52.38', '68.33', '75.72', '45.81', '38.89', '26.51', '15.13']","{'varlık_getirisi': ['18.81', '18.81', '27.61', '34.08', '20.13', '16.84', '12.31', '7.55'], 'yatırılan_sermayenin_getirisi': ['47.06', '47.06', '62.98', '72.05', '41.47', '34.41', '24.74', '14.29'], 'brüt_kar_marjı': ['25.55', '25.55', '23.06', '23.40', '27.43', '29.46', '30.07', '23.29'], 'faliyet_kar_marjı': ['5.80', '5.80', '8.94', '3.63', '14.30', '16.78', '16.81', '14.49'], 'favök_marjı': ['6.98', '6.98', '9.35', '4.74', '15.36', '17.61', '17.78', '15.40'], 'net_marj': ['−3.11', '−3.11', '4.48', '59.15', '10.84', '14.70', '18.62', '8.75']}","['38.85', '53.64', '6.66']",15.9
19,ALGYO,2023/6,"[1.09168645 1.43248129 1.53126033 1.19079925 1.13172719 0.85791072
 1.15062253 0.58118626 0.45946179 0.46708186 0.35834716 0.51832708]","[0.09796239 0.49988431 0.70158101 0.40799214 0.24201197 0.13356762
 0.3335526  0.04699766 0.02245137 0.01398156 0.01103845 0.05173734]","[1.00890878 0.77420619 0.67449689 0.78952279 0.90602468 0.90108372
 1.37787444 2.7606786  4.84100422 3.32142328 4.95285975 3.01236659]",0.9874539934930124,0.006946100105248,"['62.06', '62.06', '62.09', '61.87', '50.95', '49.16', '50.66', '51.80']","{'varlık_getirisi': ['59.61', '59.61', '58.52', '59.91', '49.73', '48.04', '48.23', '51.25'], 'yatırılan_sermayenin_getirisi': ['61.32', '61.32', '61.30', '61.08', '50.93', '49.14', '50.64', '51.74'], 'brüt_kar_marjı': ['97.46', '97.46', '94.95', '91.17', '96.19', '96.20', '97.92', '99.24'], 'faliyet_kar_marjı': ['91.38', '91.38', '75.92', '81.73', '93.61', '78.44', '77.94', '98.46'], 'favök_marjı': ['91.45', '91.45', '76.26', '82.24', '93.71', '78.56', '78.03', '98.46'], 'net_marj': ['99.85', '99.85', '73.07', '5.22K', '103.41', '78.59', '77.42', '321.79']}","['21.06', '19.90', '9.15']",1.7
20,ALARK,2023/3,"[1.09168645 1.43248129 1.53126033 1.19079925 1.13172719 0.85791072
 1.15062253 0.58118626 0.45946179 0.46708186 0.35834716 0.51832708]","[0.09796239 0.49988431 0.70158101 0.40799214 0.24201197 0.13356762
 0.3335526  0.04699766 0.02245137 0.01398156 0.01103845 0.05173734]","[1.00890878 0.77420619 0.67449689 0.78952279 0.90602468 0.90108372
 1.37787444 2.7606786  4.84100422 3.32142328 4.95285975 3.01236659]",1.344276674159506,0.0537690806996604,"['114.59', '114.59', '122.87', '118.77', '94.72', '64.35', '42.53', '45.65']","{'varlık_getirisi': ['70.49', '70.49', '71.94', '73.88', '53.49', '33.80', '22.71', '23.65'], 'yatırılan_sermayenin_getirisi': ['113.73', '113.73', '121.61', '118.10', '93.61', '63.42', '41.41', '43.62'], 'brüt_kar_marjı': ['17.75', '17.75', '−1.39', '13.52', '22.87', '24.77', '−36.01', '27.68'], 'faliyet_kar_marjı': ['5.74', '5.74', '−9.66', '9.37', '17.51', '19.67', '−44.00', '21.97'], 'favök_marjı': ['7.29', '7.29', '−9.19', '10.35', '18.82', '21.34', '−42.01', '23.97'], 'net_marj': ['131.94', '131.94', '192.90', '180.73', '127.11', '105.21', '108.88', '56.27']}","['28.24', '26.35', '2.94']",4.3
21,ALCTL,2023/6,"[1.09168645 1.43248129 1.53126033 1.19079925 1.13172719 0.85791072
 1.15062253 0.58118626 0.45946179 0.46708186 0.35834716 0.51832708]","[0.09796239 0.49988431 0.70158101 0.40799214 0.24201197 0.13356762
 0.3335526  0.04699766 0.02245137 0.01398156 0.01103845 0.05173734]","[1.00890878 0.77420619 0.67449689 0.78952279 0.90602468 0.90108372
 1.37787444 2.7606786  4.84100422 3.32142328 4.95285975 3.01236659]",1.13100426066337,0.3900153164421177,"['13.50', '13.50', '25.53', '22.48', '20.95', '7.27', '13.73', '8.48']","{'varlık_getirisi': ['7.88', '7.88', '14.46', '12.74', '11.59', '3.57', '6.10', '3.96'], 'yatırılan_sermayenin_getirisi': ['13.37', '13.37', '25.13', '22.09', '20.61', '7.11', '13.28', '8.15'], 'brüt_kar_marjı': ['9.76', '9.76', '11.96', '22.74', '30.86', '27.90', '14.89', '−18.29'], 'faliyet_kar_marjı': ['2.88', '2.88', '6.05', '20.26', '25.22', '20.75', '4.72', '−25.24'], 'favök_marjı': ['3.81', '3.81', '6.25', '21.54', '25.70', '21.89', '6.78', '−25.28'], 'net_marj': ['−10.90', '−10.90', '16.49', '3.50', '22.32', '9.72', '8.45', '−6.54']}","['5.00', '6.10', '1.34']",19.85
22,ALFAS,2023/6,"[1.09168645 1.43248129 1.53126033 1.19079925 1.13172719 0.85791072
 1.15062253 0.58118626 0.45946179 0.46708186 0.35834716 0.51832708]","[0.09796239 0.49988431 0.70158101 0.40799214 0.24201197 0.13356762
 0.3335526  0.04699766 0.02245137 0.01398156 0.01103845 0.05173734]","[1.00890878 0.77420619 0.67449689 0.78952279 0.90602468 0.90108372
 1.37787444 2.7606786  4.84100422 3.32142328 4.95285975 3.01236659]",29.705459240153875,0.7753919954812092,"['—', '—', '—', '—', '—', '—', '—']","{'varlık_getirisi': ['—', '—', '—', '—', '—', '—', '—'], 'yatırılan_sermayenin_getirisi': ['—', '—', '—', '—', '—', '—', '—'], 'brüt_kar_marjı': ['24.06', '24.06', '18.19', '23.31', '19.80', '24.00', '12.14'], 'faliyet_kar_marjı': ['22.69', '22.69', '16.81', '23.71', '19.18', '23.72', '10.85'], 'favök_marjı': ['22.91', '22.91', '17.03', '23.95', '19.35', '24.11', '11.73'], 'net_marj': ['20.65', '20.65', '18.79', '22.37', '33.95', '9.98', '27.59']}","['21.60', '13.57', '1.21']",37.9
23,ALKIM,2023/3,"[1.09168645 1.43248129 1.53126033 1.19079925 1.13172719 0.85791072
 1.15062253 0.58118626 0.45946179 0.46708186 0.35834716 0.51832708]","[0.09796239 0.49988431 0.70158101 0.40799214 0.24201197 0.13356762
 0.3335526  0.04699766 0.02245137 0.01398156 0.01103845 0.05173734]","[1.00890878 0.77420619 0.67449689 0.78952279 0.90602468 0.90108372
 1.37787444 2.7606786  4.84100422 3.32142328 4.95285975 3.01236659]",1.689845035923495,0.3589172747864431,"['53.25', '53.25', '64.73', '78.58', '68.92', '50.71', '42.54', '35.39']","{'varlık_getirisi': ['33.03', '33.03', '39.55', '49.71', '39.99', '29.28', '26.05', '22.90'], 'yatırılan_sermayenin_getirisi': ['51.73', '51.73', '61.86', '75.44', '64.80', '47.69', '39.35', '32.72'], 'brüt_kar_marjı': ['19.91', '19.91', '27.38', '27.77', '39.43', '32.52', '32.99', '19.06'], 'faliyet_kar_marjı': ['12.06', '12.06', '21.02', '23.93', '32.68', '28.00', '63.19', '13.39'], 'favök_marjı': ['13.38', '13.38', '22.15', '24.95', '33.86', '29.49', '65.10', '15.39'], 'net_marj': ['9.30', '9.30', '15.86', '19.57', '25.65', '21.66', '36.22', '9.85']}","['3.42', '3.82', '1.65']",11.24
24,AYCES,2023/6,"[1.09168645 1.43248129 1.53126033 1.19079925 1.13172719 0.85791072
 1.15062253 0.58118626 0.45946179 0.46708186 0.35834716 0.51832708]","[0.09796239 0.49988431 0.70158101 0.40799214 0.24201197 0.13356762
 0.3335526  0.04699766 0.02245137 0.01398156 0.01103845 0.05173734]","[1.00890878 0.77420619 0.67449689 0.78952279 0.90602468 0.90108372
 1.37787444 2.7606786  4.84100422 3.32142328 4.95285975 3.01236659]",4.703851142234457,0.02783548210431769,"['0.28', '0.28', '0.85', '3.40', '2.38', '2.78', '4.24', '7.10']","{'varlık_getirisi': ['0.23', '0.23', '0.72', '2.75', '1.85', '2.22', '3.47', '5.53'], 'yatırılan_sermayenin_getirisi': ['0.28', '0.28', '0.84', '3.29', '2.29', '2.68', '4.09', '6.68'], 'brüt_kar_marjı': ['−62.59', '−62.59', '−33.81', '55.47', '7.96', '−215.56', '−18.80', '66.60'], 'faliyet_kar_marjı': ['−117.38', '−117.38', '−76.74', '47.12', '−13.38', '−303.58', '−57.32', '60.24'], 'favök_marjı': ['−69.69', '−69.69', '−50.12', '52.73', '5.69', '−195.16', '−28.18', '64.86'], 'net_marj': ['−124.14', '−124.14', '−64.26', '47.25', '−17.32', '−324.56', '−53.40', '59.53']}","['0.11', '0.35', '0.64']",2386.4
25,ALMAD,2023/6,"[1.09168645 1.43248129 1.53126033 1.19079925 1.13172719 0.85791072
 1.15062253 0.58118626 0.45946179 0.46708186 0.35834716 0.51832708]","[0.09796239 0.49988431 0.70158101 0.40799214 0.24201197 0.13356762
 0.3335526  0.04699766 0.02245137 0.01398156 0.01103845 0.05173734]","[1.00890878 0.77420619 0.67449689 0.78952279 0.90602468 0.90108372
 1.37787444 2.7606786  4.84100422 3.32142328 4.95285975 3.01236659]",1.279278658381812,0.16183897334218977,"['33.39', '33.39', '44.30', '62.22', '49.30', '42.47', '24.28', '−0.64']","{'varlık_getirisi': ['30.02', '30.02', '40.53', '53.33', '40.18', '32.60', '18.25', '−0.44'], 'yatırılan_sermayenin_getirisi': ['33.14', '33.14', '44.30', '62.22', '48.37', '41.81', '24.23', '−0.63'], 'brüt_kar_marjı': ['20.69', '20.69', '1.69', '−11.24', '9.68', '37.82', '67.95', '88.70'], 'faliyet_kar_marjı': ['4.63', '4.63', '3.06', '−26.77', '−3.81', '15.63', '53.62', '34.89'], 'favök_marjı': ['12.19', '12.19', '10.82', '−10.60', '9.36', '27.89', '58.98', '38.39'], 'net_marj': ['39.57', '39.57', '124.79', '265.71', '52.21', '284.33', '478.95', '167.90']}","['0.48', '0.60', '0.40']",16.67
26,AEFES,2023/6,"[1.09168645 1.43248129 1.53126033 1.19079925 1.13172719 0.85791072
 1.15062253 0.58118626 0.45946179 0.46708186 0.35834716 0.51832708]","[0.09796239 0.49988431 0.70158101 0.40799214 0.24201197 0.13356762
 0.3335526  0.04699766 0.02245137 0.01398156 0.01103845 0.05173734]","[1.00890878 0.77420619 0.67449689 0.78952279 0.90602468 0.90108372
 1.37787444 2.7606786  4.84100422 3.32142328 4.95285975 3.01236659]",2.965257409878144,0.3316583103162578,"['18.50', '18.50', '17.93', '15.48', '15.11', '8.55', '3.93', '6.78']","{'varlık_getirisi': ['3.36', '3.36', '3.33', '3.14', '3.09', '1.67', '0.84', '1.58'], 'yatırılan_sermayenin_getirisi': ['9.37', '9.37', '8.83', '8.09', '8.18', '4.59', '2.03', '3.85'], 'brüt_kar_marjı': ['39.82', '39.82', '36.95', '35.21', '38.57', '35.97', '34.76', '35.71'], 'faliyet_kar_marjı': ['18.52', '18.52', '11.81', '8.22', '19.51', '15.60', '6.08', '7.00'], 'favök_marjı': ['21.77', '21.77', '16.40', '13.40', '23.05', '19.83', '12.27', '13.61'], 'net_marj': ['7.56', '7.56', '1.66', '0.24', '6.99', '5.81', '−0.96', '−1.81']}","['9.15', '5.79', '1.80']",12.0
27,ASUZU,2023/6,"[1.09168645 1.43248129 1.53126033 1.19079925 1.13172719 0.85791072
 1.15062253 0.58118626 0.45946179 0.46708186 0.35834716 0.51832708]","[0.09796239 0.49988431 0.70158101 0.40799214 0.24201197 0.13356762
 0.3335526  0.04699766 0.02245137 0.01398156 0.01103845 0.05173734]","[1.00890878 0.77420619 0.67449689 0.78952279 0.90602468 0.90108372
 1.37787444 2.7606786  4.84100422 3.32142328 4.95285975 3.01236659]",2.4610112986589794,0.462862634918988,"['34.84', '34.84', '29.32', '25.82', '56.01', '39.75', '29.69', '21.49']","{'varlık_getirisi': ['11.93', '11.93', '11.04', '10.34', '17.94', '12.72', '9.99', '7.64'], 'yatırılan_sermayenin_getirisi': ['29.62', '29.62', '24.49', '21.62', '45.16', '31.59', '21.82', '15.37'], 'brüt_kar_marjı': ['29.88', '29.88', '24.86', '20.30', '21.69', '24.01', '27.49', '23.13'], 'faliyet_kar_marjı': ['20.74', '20.74', '14.36', '13.39', '15.74', '14.76', '14.43', '15.37'], 'favök_marjı': ['21.95', '21.95', '15.57', '14.34', '16.70', '16.01', '16.01', '16.45'], 'net_marj': ['12.01', '12.01', '10.51', '3.78', '16.03', '11.02', '11.27', '14.35']}","['11.14', '7.35', '2.52']",22.7
28,ANGEN,2023/6,"[1.09168645 1.43248129 1.53126033 1.19079925 1.13172719 0.85791072
 1.15062253 0.58118626 0.45946179 0.46708186 0.35834716 0.51832708]","[0.09796239 0.49988431 0.70158101 0.40799214 0.24201197 0.13356762
 0.3335526  0.04699766 0.02245137 0.01398156 0.01103845 0.05173734]","[1.00890878 0.77420619 0.67449689 0.78952279 0.90602468 0.90108372
 1.37787444 2.7606786  4.84100422 3.32142328 4.95285975 3.01236659]",1.9265000474374308,0.08613443739861698,"['20.22', '20.22', '41.74', '95.79', '—', '—', '—', '—']","{'varlık_getirisi': ['18.51', '18.51', '38.43', '88.16', '—', '—', '—', '—'], 'yatırılan_sermayenin_getirisi': ['20.05', '20.05', '41.42', '95.41', '—', '—', '—', '—'], 'brüt_kar_marjı': ['66.57', '66.57', '49.81', '72.23', '79.02', '88.34', '87.79', '82.64'], 'faliyet_kar_marjı': ['−31.69', '−31.69', '−15.98', '39.90', '51.23', '76.23', '78.44', '71.16'], 'favök_marjı': ['−8.07', '−8.07', '8.83', '51.81', '59.28', '77.99', '81.28', '74.12'], 'net_marj': ['43.91', '43.91', '60.81', '114.31', '157.35', '130.82', '167.34', '73.84']}","['0.81', '1.50', '-']",17.92
